group,initial_asset,ending_asset,cumulative_return,benchmark_cumulative_return,total_trades,worst_round_drawdown
方法1,500000.0,1720000.4776702288,2.440000955340458,1.1657089590436933,409,-0.14880007601277745
方法2,500000.0,1023890.3521031749,1.0477807042063496,1.1657089590436933,617,-0.24481820772028196
方法3,500000.0,1114636.423585415,1.2292728471708299,1.1657089590436933,291,-0.16681781310005928
